objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll016,ben_hem0016.jpg,Una aguja blanca atacó e hirió a Freddy Benarroch,,09/15/1964,Recorte sobre el peligroso accidenteque sufrió Freddy Benarroch al ser atacado por una aguja y resultados del Clásico Aguja Blanca,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Blanca;","Caraballeda, Estado Vargas, Venezuela",10.61216,-66.85192,El Universal,ben_hem0039,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll017,ben_hem0017.jpg,72 agujas el primer día del concurso,,09/14/1957,Fotografías de prensa de algunos de los participantes del I Campeonato Nacional de Pesca de Aguja en su primera jornada,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Campeonato Naciomal de Pesca de Aguja; Jaén, Rubén;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0017,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll018,ben_hem0018.jpg,"Jaén, Benaím y Benarroch conquistaron campeonato nacional de pesca",,09/16/1957,Recorte de de prensa de algunos de los participantes del I Campeonato Nacional de Pesca de Aguja en su primera jornada,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Campeonato Naciomal de Pesca de Aguja; Jaén, Rubén;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,[La Esfera],ben_hem0018,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll021,ben_hem0021.jpg,"Tres títulos obtuvo la ""Estrella II"" en el Concurso Nacional de Pesca",,09/16/1957,Recorte de prensa sobre los resultados finales del I Campeonato Nacional de Pesca de Aguja donde Freddy Benarroch y Rubén Jaén salieron campeones,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Campeonato Naciomal de Pesca de Aguja; Jaén, Rubén;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,--,ben_hem0021,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll022,ben_hem0022.jpg,Pescadres deportivos con línea de 80 libras en el V Concurso de Playa Grande,Longobardo Lossada Roa y Miguel Grillo,05/1964,Recorte de prensa sobre el próximo V Clásico de Aguja Azul ,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0022,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll024,ben_hem0024.jpg,"La ""Estrella II"" presentó la segunda aguja azul del certamen del AYC",Eduardo Díaz Nieto,09/14/1957,Recortes de prensa sobre los resultados de la primera jornada del I Campeonato Nacional de Pesca de Aguja ,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Campeonato Naciomal de Pesca de Aguja; ","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,La Esfera,ben_hem0022,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll025,ben_hem0025.jpg,Rubén Jaén y Playa Grande picaron adelante en internacional de pesca,,09/19/1969,Recorte de prensa sobre el X Concurso Internacional de Pesca donde el equipo Playa Grande le que forma parte Freddy Benarroch llevan la delantera en la primera jornada,"Benarroch, Freddy; sport fishing; competitive fishing; Concurso Internacional de Pesca;","Naiguatá, Estado Vargas, Venezuela",10.6205,-66.73950,El Nacional,ben_hem0025,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll026,ben_hem0026.jpg,Rafael Campos Moreno peleó 2 horas y media para capturar una aguja azul,,05/1964,Recorte de prensa sobre los resultados del primer día del V Concurso Nacional de Aguja Azul de 1964 donde participó Freddy Benarroch,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,[El Nacional],ben_hem0026,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll027,ben_hem0027.jpg,"""La Reina"" y Rubén Jaen Centeno ganaron Clásico de Aguja Azul",,05/24/1965,Recorte de prensa sobre los resultados finales del VI Clásico de Aguja Azul donde Freddy Benarroch obtuvo el cuarto puesto en la categoría individual y quinto puesto como parte del equipo Mako.,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,[El Nacional],ben_hem0027,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll028,ben_hem0028.jpg,Con el Clásico de Aguja Azul se inicia la temporada de pesca deportiva,,01/10/1969,Recorte de prensa sobre el II Clásico de Aguja Azul a celebrarse en el Caraballeda Golf Yacht Club,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Caraballeda, Estado Vargas, Venezuela",10.61216,-66.85192,El Nacional,ben_hem0028,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
